study_id,citation,source_type,population,n,intervention,comparator,outcome,unit,timepoint_months,effect_type,effect_value,ci_low,ci_high,p_value,direction,confidence,disease_match,quantitative,model_target,notes
rabin2019,"Rabin et al. 2019, JAMA Neurol 76(10):1203-1210 (PMID 31312836)",cohort,clinically normal (Harvard Aging Brain Study),182,aerobic-exercise,fewer steps/day,activity x amyloid interaction on PACC decline,beta (PACC units),72,other,0.03,0.02,0.05,0.001,increase,high,healthy,true,coef.cog.ex-resilience,"same interaction on grey-matter loss beta 482 [189,775] p=.002; exercise blunts amyloid's CONSEQUENCES not its level; grounds model's plaque-resilience term"
villemagne2013,"Villemagne et al. 2013, Lancet Neurol 12(4):357-367 (PMID 23477989)",cohort,HC/MCI/AD PiB-positive accumulators,200,none,,PiB SUVR accumulation rate,SUVR per year,46,raw-means,0.043,0.037,0.049,,increase,high,mixed,true,bench.untreated.plaque,"baseline SUVR AD 2.27 MCI 1.94 HC 1.38; threshold 1.5; ~2-3% relative rise per yr, slows toward plateau in AD; CALIBRATES model plaque accrual (previous 0.9/mo was ~3x too fast)"
bollack2024,"Bollack et al. 2024, Alzheimers Dement 20(5):3429-3441 (PMID 38574374)",cohort,non-demented (AMYPAD-PNHS),750,none,,amyloid accumulation rate,centiloids per year,41,raw-means,1.5,,,,increase,high,mixed,true,bench.untreated.plaque,"SD 3.3 overall; ~4.4 CL/yr in converters; reliable accumulation >3.0 CL/yr; threshold predicting future accumulation 16 CL [12,19]"
schuff2009-mci,"Schuff et al. 2009, Brain 132(4):1067-1077 (PMID 19251758)",cohort,ADNI MCI,226,none,,hippocampal volume loss,% per year,12,percent-change,-2.6,,,,decrease,high,MCI,true,context.untreated-hippo-mci,"SE 0.3; controls -0.8 (SE 0.5) %/yr; AD -4.4 (SE 0.6) %/yr corroborates Barnes 2009 -4.66"
schuff2009-apoe,"Schuff et al. 2009, Brain 132(4):1067-1077 (PMID 19251758)",cohort,ADNI AD APOE e4 carriers,96,none,e4 non-carriers,extra hippocampal loss attributable to e4,% per year additional,12,mean-diff,-1.4,,,,decrease,high,AD,true,coef.apoe.atrophy,"SE 0.5 = 23.4 mm3/yr extra; e4 did NOT modulate rates in MCI or controls (stage-dependent); with Cai 2026 (~1%/yr per copy) CALIBRATES apoeRisk 0.45 -> 0.16 (old value implied ~4%/yr extra per copy)"
lamb2018,"Lamb et al. 2018 (DAPA), BMJ 361:k1675 (PMID 29769247)",RCT,mild-moderate dementia,494,aerobic-exercise,usual care,ADAS-cog,points adjusted between-group,12,mean-diff,1.4,0.2,2.6,0.03,decrease,high,AD,true,bench.exercise.cognition-ad,"higher ADAS-cog = WORSE in exercise arm (favours usual care); 6-min walk +18.1 m; largest exercise-in-dementia RCT; a ceiling on exercise cognitive benefit in established dementia"
hoffmann2016,"Hoffmann et al. 2016 (ADEX), J Alzheimers Dis 50(2):443-453 (PMID 26682695)",RCT,mild AD,200,aerobic-exercise,usual care,SDMT (per-protocol adherers),points,4,mean-diff,4.2,0.5,7.9,0.028,increase,medium,AD,true,context.exercise-ad-adherence,"ITT NULL on SDMT and all cognitive tests; NPI improved -3.5 [-5.8,-1.3]; only adherent subgroup benefits (dose-dependence)"
baker2025-exert,"Baker et al. 2025 (EXERT), Alzheimers Dement 21(4):e14586 (PMID 40271888)",RCT,amnestic MCI sedentary,296,aerobic-exercise,low-intensity stretch/balance,hippocampal volume,% per year,12,percent-change,-0.51,,,,decrease,high,MCI,true,bench.exercise.hippo,"mean 12-mo hippocampal loss 0.51% in BOTH arms, 5x slower than ADNI untreated MCI (-2.6%/yr); cognition (ADAS-Cog-Exec) flat in both arms (coef -0.078 SE 0.074 p=.3); REPLACES Erickson 2011 (healthy) as the exercise benchmark"
shadyab2025,"Shadyab et al. 2025, Alzheimers Dement 21(4):e70118 (PMID 40271887)",cohort,amnestic MCI (EXERT arms vs matched ADNI-1),214,aerobic-exercise,propensity-matched usual care,ADAS-Cog-Exec 12-mo trajectory,beta,12,other,0.169,0.011,0.328,,increase,medium,MCI,true,context.exercise-mci-vs-untreated,"aerobic 0.169 [0.011,0.328]; stretch/balance 0.181 [0.007,0.354]; both arms beat UNTREATED usual care though not each other: any structured activity, not intensity; non-randomised comparator"
morris2017,"Morris et al. 2017, PLoS One 12(2):e0170547 (PMID 28187125)",RCT,early AD,76,aerobic-exercise,stretching & toning,Disability Assessment for Dementia,chi-square,6,qualitative,,,,0.02,increase,medium,AD,false,context.exercise-ad-function,"memory, executive function, depression all NULL; fitness change correlated with memory change and bilateral hippocampal volume (correlational only)"
andrieu2017-o3,"Andrieu et al. 2017 (MAPT), Lancet Neurol 16(5):377-389 (PMID 28359749)",RCT,>=70 with memory complaints non-demented,1525,omega-3,placebo,composite cognitive z-score,SD units,36,mean-diff,0.011,-0.081,0.103,0.812,null-effect,high,mixed,true,bench.omega3.cognition,"800 mg DHA + 225 mg EPA/day x 3 yrs; largest omega-3 prevention RCT; essentially zero effect; omega-3-only benchmark = untreated"
andrieu2017-md,"Andrieu et al. 2017 (MAPT), Lancet Neurol 16(5):377-389 (PMID 28359749)",RCT,>=70 with memory complaints non-demented,1525,multi-domain,placebo,composite cognitive z-score,SD units,36,mean-diff,0.079,-0.012,0.17,0.179,null-effect,high,mixed,true,bench.multi.cog,"multidomain+placebo arm; combined multidomain+omega-3 0.093 [0.001,0.184] adjusted p=.142 (not significant after adjustment)"
freundlevi2006,"Freund-Levi et al. 2006 (OmegAD), Arch Neurol 63(10):1402-1408 (PMID 17030655)",RCT,mild-moderate AD (MMSE>=15) on AChEI,204,omega-3,placebo,MMSE and ADAS-cog,points,6,qualitative,,,,,null-effect,high,AD,false,bench.omega3.mmse,"1.7 g DHA + 0.6 g EPA/day; no between-group difference; only very-mild subgroup (MMSE>27, n=32) showed slower MMSE decline (p<.05)"
tofiq2021,"Tofiq et al. 2021, J Alzheimers Dis 83(3):1291-1301 (PMID 34420949)",RCT,AD (OmegAD CSF sub-study),33,omega-3,placebo,CSF Abeta42 / tau,pg/mL,6,qualitative,,,,,null-effect,medium,AD,false,coef.plaque.o3,"Abeta42 STABLE; NfL (p=.03) and YKL-40 (p=.04) INCREASED in omega-3 arm; directly contradicts an omega-3->amyloid-clearance term; model's omega-3 clearance ZEROED 2026-09-11"
arellanes2020,"Arellanes et al. 2020, EBioMedicine 59:102883 (PMID 32690472)",RCT,non-demented older adults,33,omega-3,placebo (both + B vitamins),CSF DHA,% change,6,percent-change,28,,,0.0001,increase,high,healthy,true,coef.apoe.o3-interaction,"2152 mg DHA/day; CSF EPA +43%; CSF EPA rise in NON-e4 carriers was 3x greater than in e4 carriers; brain volume & cognition unchanged; the model's e4-BOOSTED omega-3 clearance was backwards, REMOVED 2026-09-11"
yassine2026,"Yassine et al. 2026 (PreventE4), EBioMedicine 129:106316 (PMID 42315445)",RCT,non-demented 55-80 low DHA intake (47% e4),365,omega-3,placebo,CSF DHA/AA ratio,ratio change,6,mean-diff,0.19,0.16,0.21,0.0001,increase,high,healthy,true,bench.omega3.hippo,"target engagement INDEPENDENT of APOE e4 (interaction p=.71); NO treatment difference in brain volumes or cognition at 24 months; 38% dropout (COVID); omega-3-only hippocampal benchmark = placebo"
baker2025-pointer,"Baker et al. 2025 (US POINTER), JAMA 334(8):681-691 (NCT03688126)",RCT,60-79 sedentary at-risk,2111,multi-domain,self-guided lifestyle education,global cognitive composite annual change,SD per year,24,mean-diff,0.029,0.008,0.05,0.008,increase,high,healthy,true,bench.multi.cog,"structured 0.243 SD/yr vs self-guided 0.213 (both arms improved: practice effects); benefit equal in APOE e4 carriers and non-carriers (interaction p=.95); larger with lower baseline cognition (p=.02); ~+0.06 SD at 24 mo"
oki2024,"Oki et al. 2024 (J-MINT PRIME Tamba), Alzheimers Dement 20(10):6972-6983 (PMID 39229900)",RCT,cognitively normal 65-85 with diabetes and/or hypertension,203,multi-domain,control,cognitive composite z-score,z units,18,mean-diff,0.16,0.04,0.27,0.009,increase,medium,healthy,true,bench.multi.cog,"FINGER-style; positive but small single-site trial in a vascular-risk population"
sugimoto2025,"Sugimoto et al. 2025 (J-MINT subgroup), Alzheimers Dement 21(11):e70822 (PMID 41222037)",RCT,MCI 65-85 with uncontrolled vascular risk factors,298,multi-domain,control,neuropsychological composite z-score,z units,18,mean-diff,0.11,0.02,0.2,0.032,increase,medium,MCI,true,context.multi-mci,"main J-MINT primary outcome NULL; benefit only in uncontrolled-VRF subgroup; hypothesis-generating"
wells2013,"Wells et al. 2013, Neurosci Lett 556:15-19 (PMID 24120430)",RCT,MCI (MBSR pilot),14,meditation,usual care,bilateral hippocampal volume change,mm3 over 8 wks,2,raw-means,-32,-179,69,0.07,decrease,low,MCI,true,context.meditation-hippo,"MBSR -32 mm3 vs control -274 mm3 [-368,-137], trend p=.07; n=13 analysed; PCC-hippocampus connectivity increase was the significant finding; do not over-weight"
innes2017,"Innes et al. 2017, J Alzheimers Dis 56(3):899-916 (PMID 28106552)",RCT,subjective cognitive decline,60,meditation,music listening (active control),memory & executive tests,,6,qualitative,,,,0.006,null-effect,low,healthy,false,bench.meditation.cognition,"Kirtan Kriya 12 min/day; BOTH arms improved, no meditation-vs-control superiority; effect sizes not published in abstract"
nicastri2022,"Nicastri et al. 2022, Alzheimers Dement (N Y) 8(1):e12337 (PMID 36089933)",RCT,healthy older adults,144,cognitive-stimulation,active control,serum BDNF,t-statistic,1.25,qualitative,,,,0.01,increase,medium,healthy,false,coef.bdnf.cst,"ONLY the cognitive-training arm raised BDNF (t(36)=2.58); mindfulness and exercise arms showed no interaction; no means/SD published so no effect size; upgrades model's CST->BDNF from 'evidence gap' to 'direction confirmed, magnitude unpublished'"
akalp2024,"Akalp et al. 2024, Arch Gerontol Geriatr 126:105541 (PMID 38981326)",meta-analysis,MCI,,aerobic-exercise,control,serum BDNF,SMD,,SMD,0.952,-0.238,2.142,0.117,null-effect,medium,MCI,true,coef.bdnf.ex,"23 studies; MCI-specific exercise->BDNF NOT significant; TNF-alpha SMD -0.475 [-0.817,-0.134] p=.006 I2=0%; cognition ES 1.165 [0.741,1.589]; tempers Szuhany g=0.28 when applied to MCI"
hong2026,"Hong, Wang et al. 2026, Front Med 13:1889076 (PMID 42625625)",meta-analysis,adults >=60,2836,aerobic-exercise,control,CRP,SMD,,SMD,-0.73,-1.17,-0.29,,decrease,medium,healthy,true,coef.inflam.ex,"Bayesian NMA 54 RCTs; resistance -0.46 [-0.84,-0.08]; mind-body -0.24 [-0.91,0.42] ns; abstract says -0.83 [-1.42,-0.24] vs results -0.73 (internal inconsistency, hence medium); older-adult population match beats the earlier all-age -0.18; CALIBRATES inflam.ex -4 -> -15"
newberg2010,"Newberg et al. 2010, J Alzheimers Dis 20(2):517-526 (PMID 20164557)",cohort,subjects with memory loss (single-arm pre-post),14,meditation,own baseline,cerebral blood flow (SPECT) prefrontal/parietal,count ratio,2,qualitative,,,,0.05,increase,low,mixed,false,coef.cbf.med,"significant CBF increases after 8 wks Kirtan Kriya but NO percent-change values published; uncontrolled n=14; model's meditation->CBF term remains an assumption with a confirmed direction only"
